Zeit,bitcoin
1728162732876,61764.447436375944
1728165912338,61844.53865265087
1728169935075,61991.285312837215
1728173529790,61943.32059194136
1728176727767,61903.8513984402
1728180111722,62105.88392398104
1728183826269,61972.5254215129
1728187294024,61888.434969301474
1728191111123,61875.00799886143
1728194773049,61933.30315939685
1728198372851,61973.5297577713
1728201719980,61946.8783744096
1728205229915,62003.40843463339
1728209132978,62093.56057795135
1728212770911,62048.074943959386
1728216047679,62123.194078161265
1728220092452,62349.66332186298
1728223235350,62244.12526105943
1728227099161,62755.45855679772
1728230848158,62871.84184813987
1728234502883,62627.05018877592
1728237814765,62588.94927841031
1728241243388,62723.80554302754
1728245234067,62676.41666107724
1728248496036,62606.86007773546
1728252545720,62406.97353718698
1728255882062,62621.04749989727
1728259303975,62811.79972811266
1728263444458,63759.38195914538
1728266652233,63794.841444878955
1728270563711,63696.77383180315
1728273764156,63525.08325037221
1728277557797,63514.738625121696
1728281506182,63495.43691971516
1728284647797,63713.00356537992
1728288762781,63648.2069767685
1728291643841,63541.10192342399
1728295852735,63113.10760597776
1728299499836,62631.53098985469
1728302550088,63157.733006258815
1728306960053,62897.07905064064
1728309710017,63443.10023435226
1728313840425,63642.317719867126
1728317546489,63725.43470224901
1728321280539,63774.543053742
1728324989699,63495.11150191953
1728327789238,62855.72967042333
1728332010922,63280.38379462429
1728335073215,62999.86075296318
1728339083633,63231.15027084451
1728342337667,62301.390271974175
1728345873567,62211.234201259
1728349968398,62578.36615233839
1728353311399,62708.74898406302
1728357149059,62716.36879880969
1728360746733,62656.663066193934
1728364238891,62609.25214527036
1728367775097,62424.62240664154
1728371020973,62479.231973519934
1728375122528,62240.6083876244
1728378737850,62384.34904441377
1728381949699,62560.61441012541
1728385882691,62514.66233700978
1728389036777,62604.096795218546
1728392849549,62504.51859636706
1728396753121,62770.26425664377
1728399836865,62766.14682170429
1728403677845,62152.158564241465
1728407015938,62525.15635385936
1728411196301,62331.602816503626
1728414659345,61963.1594430075
1728418233068,62121.59452794766
1728421860919,62325.37670520698
1728425388282,62373.092674608226
1728429065097,62105.27060195742
1728432039868,62185.230423727575
1728435697721,62115.919752113165
1728439733310,62299.981991661436
1728443370445,62272.6586800959
1728446989617,62334.18871429603
1728450038842,62307.406121183434
1728453735811,62490.39392748502
1728457735339,62301.0120009861
1728461019155,62228.21482411327
1728464933535,62199.03458257609
1728468213087,62222.525571365324
1728472323048,62135.36928631705
1728475730358,62144.517600515544
1728479286731,61979.063023858784
1728483059238,61843.712560203414
1728486875212,61935.669410618335
1728489898867,62273.12429552298
1728493501805,61752.45976427412
1728497307131,61786.15413301724
1728500750631,61117.826773189954
1728504027237,61045.573897756294
1728508297629,60486.87709708697
1728511772651,60743.1844472768
1728515611105,60648.86752390266
1728518773137,60583.12205498274
1728522070689,60388.16814788513
1728526335973,60749.228818156014
1728529640644,60807.96354622658
1728533571217,60806.83687955058
1728536749110,60823.19050349816
1728540216307,60868.330109499504
1728544065586,61039.07191204449
1728548250965,60816.45760075644
1728551427336,60832.721359226955
1728554669967,60873.383443728606
1728558060170,60998.011914516894
1728562296313,61226.55340601267
1728565629700,60966.09545988984
1728569052582,61004.33428392234
1728573140494,60725.75258509342
1728576373088,60749.31433413257
1728580374125,59946.32257559109
1728584012164,59019.105152188844
1728587330639,59448.19518772974
1728591300566,59858.81528931067
1728594657073,59648.4874804161
1728597607636,59978.609247005
1728601360762,60097.42054824134
1728605568491,60274.14830381827
1728608529266,60138.20314704477
1728612827216,60401.86308358801
1728616443157,60654.95117619428
1728619465204,60582.95352143313
1728622889010,60646.498268602045
1728626924211,60580.28619641105
1728630914475,60857.11327929529
1728633884919,60637.25054969195
1728637615779,60683.149779899
1728641361316,61135.8410866515
1728644604568,61151.39726054673
1728648747093,61216.421357271196
1728652425554,61337.80870418161
1728656221647,61892.85330654469
1728659506236,61993.101686224276
1728662620364,62305.8826676622
1728666826559,62258.78126639044
1728669698105,62924.80345494198
1728673764169,62897.152322775866
1728676826554,62967.264978789135
1728681132629,63123.36372364698
1728684759577,62735.89700746058
1728687985884,62434.984206254376
1728691645959,62557.09837051421
1728695591607,62925.3019618285
1728698417626,62699.07996098267
1728702286103,62536.38746032396
1728706187073,62599.19906424621
1728709830765,62575.01469832429
1728713647126,62718.58723292522
1728717247536,62644.88869994593
1728720586993,62719.13459755654
1728723685632,62697.6510466996
1728728095797,62835.43332331448
1728731727032,63053.628977024506
1728734980464,62821.3191160856
1728738137775,63053.36012797396
1728742226270,63018.092264160055
1728745936892,63223.49016295725
1728749079737,63141.84753226452
1728753151861,63066.52320891162
1728756555674,63120.167586437725
1728760037935,62981.24603523046
1728763478177,62996.06905150953
1728767318470,63056.464404120394
1728770940208,63217.14548462702
1728774457134,63274.42560251386
1728777877785,63191.88842763342
1728781612249,63075.209405120346
1728784941319,62873.5146211585
1728788474613,62814.564170195976
1728792407492,62729.42078840493
1728796105510,62830.81279277122
1728799741141,62883.218593711725
1728803200558,62898.18308533471
1728806681707,62846.55238447297
1728810404196,62805.12899389511
1728813686749,62813.160246549385
1728817530806,62732.76385685874
1728821049013,62533.60792088054
1728825106359,62725.34385359956
1728828827149,62529.761236859114
1728831944974,62201.95703388802
1728835766073,62201.28043098085
1728839396334,62731.239415578086
1728843329525,62459.31832830549
1728846368340,62488.0695679322
1728850424387,62666.64519633286
1728853269642,62735.233711400855
1728857208594,63152.37822114162
1728861426170,62667.04710771247
1728864388975,62824.380718404456
1728867813544,62513.51208680969
1728871243958,62521.17598799639
1728875550403,62641.463333290536
1728878935897,64374.93715949218
1728882286825,64088.82670551039
1728886569027,63793.14925308766
1728889541161,64042.88253364749
1728893619523,64543.37902338765
1728897497123,64460.80413761485
1728900218197,64772.01586844345
1728904245532,64757.783215870375
1728907390850,64895.869586156165
1728911617519,64798.15619623888
1728915160109,65380.54836806865
1728918090896,65929.564331702
1728922622605,65690.6510647239
1728925426819,65697.45819749263
1728929680340,65793.96562458319
1728932592999,65747.1920338359
1728936634404,65785.65270123213
1728940324272,65956.20537308506
1728944199470,65938.65145658622
1728947276832,66360.47670950771
1728950426103,66049.99492708022
